Measure,ghana,chord_note,Time
1,Ebmin7,Eb,0.0
3,Ebmin7,Eb,4.0
10,Ebmin7,Eb,18.0
14,Abmin,Ab,26.0
14,Db7,Db,27.0
15,Gb7,Gb,28.0
15,B7,B,29.0
16,Fmin7,F,30.0
17,Bb7,Bb,32.0
18,Ebmin7,Eb,34.0
22,Abmin7,Ab,42.0
22,Db7,Db,43.0
23,Gb7,Gb,44.0
23,B7,B,45.0
24,Fmin7,F,46.0
24,Bb7,Bb,47.0
25,Ebmin7,Eb,48.0
26,Abmin7,Ab,50.0
27,Db7,Db,52.0
28,Gbmaj7,Gb,54.0
30,Abmin7,Ab,58.0
31,Db7,Db,60.0
32,Gbmaj7,Gb,62.0
34,Bmin7,B,66.0
35,E7,E,68.0
36,Amaj7,A,70.0
38,Cmin7,C,74.0
39,F7,F,76.0
40,Fmin7,F,78.0
41,Bb7,Bb,80.0
42,Ebmin7,Eb,82.0
46,Abmin7,Ab,90.0
46,Db7,Db,91.0
47,Gb7,Gb,92.0
47,B7,B,93.0
48,Fmin7,F,94.0
48,Bb7,Bb,95.0
