Measure,Rain Dance,chord_note,Time
1,Gmin7,G,0.0
2,Fmin11,F,2.0
2,Bb13,Bb,3.0
3,Ebmaj9,Eb,4.0
4,Amin7,A,6.0
4,D7,D,7.0
5,Gmin7,G,8.0
6,Eb9,Eb,10.0
6,D7,D,11.0
7,Gmin7,G,12.0
8,Amin7,A,14.0
8,D7,D,15.0
9,Gmin7,G,16.0
10,Fmin11,F,18.0
10,Bb13,Bb,19.0
11,Ebmaj7,Eb,20.0
12,Amin7,A,22.0
12,D7,D,23.0
13,Gmin7,G,24.0
14,Eb9,Eb,26.0
14,D7,D,27.0
15,Gmin7,G,28.0
16,Amin7,A,30.0
16,D7,D,31.0
17,Eb9,Eb,32.0
17,D7,D,33.0
18,Gmin7,G,34.0
18,Fmin11,F,35.0
19,C9,C,36.0
19,Eb9,Eb,37.0
20,Dmin11,D,38.0
21,Cmin7,C,40.0
21,F7,F,41.0
22,Bbmaj7,Bb,42.0
22,D7,D,43.0
23,Gmin9,G,44.0
23,Bb,Bb,45.0
24,C13,C,46.0
25,C13,C,48.0
25,F7,F,49.0
27,F7,F,52.0
27,Eb9,Eb,53.0
28,F7,F,54.0
29,F7,F,56.0
29,D7,D,57.0
