Measure,Diverse,chord_note,Time
1,Bbmin7,Bb,0.0
2,Cmin7,C,2.0
2,F7,F,3.0
3,Bbmin7,Bb,4.0
4,Cmin7,C,6.0
4,F7,F,7.0
5,Bbmin7,Bb,8.0
6,Cmin7,C,10.0
6,F7,F,11.0
7,Bbmin7,Bb,12.0
8,F7,F,14.0
9,Cmin7,C,16.0
10,F7,F,18.0
11,Bbmin7,Bb,20.0
12,Fmin7,F,22.0
13,Bb7,Bb,24.0
14,Ebmin7,Eb,26.0
15,Ebmin7,Eb,28.0
16,Ebmin7,Eb,30.0
17,Ab7,Ab,32.0
18,Dbmaj7,Db,34.0
19,Cmin7,C,36.0
19,F7,F,37.0
20,Bbmin7,Bb,38.0
21,Cmin7,C,40.0
21,F7,F,41.0
22,Bbmin7,Bb,42.0
23,Cmin7,C,44.0
23,F7,F,45.0
24,Bbmin7,Bb,46.0
25,Cmin7,C,48.0
26,Bbmin7,Bb,50.0
27,F7,F,52.0
